Column3;Column4;Column5
178;2.7111156287478453;-2.6458522329494687
179;2.722491587209072;-2.648909263609464
180;2.725037064106365;-2.649578073552991
181;2.733903247259591;-2.6518363296073475
182;2.745135079174431;-2.6546266186299756
183;2.755057359635645;-2.657079733397025
184;2.7612450333961345;-2.6585747686533856
185;2.767563575297398;-2.6601077715279784
186;2.7767575961830393;-2.6622923718730362
187;2.791857965605249;-2.6658417577817426
188;2.80309479027727;-2.668531941919124
189;2.8131169874095714;-2.6710138819596745
190;2.8203770349731734;-2.672885752253137
191;2.835056098796622;-2.676837604437281
192;2.849959583769275;-2.681073282084279
193;2.8574433606138077;-2.6832892287477788
194;2.87085600519538;-2.687375654797765
195;2.879774119682561;-2.690157403559261
196;2.890060769164499;-2.693481710028671
197;2.8973358992477762;-2.6958801380675252
198;2.911931942846099;-2.7005475804486836
199;2.923750252157928;-2.7041337390624163
200;2.9281403964406807;-2.7054316464443056
201;2.9397100681514603;-2.7088322978631987
202;2.9526569259287596;-2.712586683779098
203;2.9540865813092636;-2.713006425575769
204;2.9626000382734676;-2.715579548399281
205;2.976614876125162;-2.720227439031049
206;2.982176623618998;-2.722304562635283
207;2.993280588997231;-2.7270242559069886
208;2.9988427404404088;-2.7297038594719343
209;3.0098776878968385;-2.7357618335466762
210;3.016531317108763;-2.739981574247699
211;3.0240728296622823;-2.745375053338056
212;3.0345955249202277;-2.7540583305509454
213;3.0432029959275333;-2.76219181717357
214;3.0512387415474413;-2.770539536639081
215;3.0541038072500832;-2.773710372472834
216;3.05780526437385;-2.7779502444626583
217;3.0657333620548863;-2.7875858471289825
218;3.069102573202515;-2.7919038609612907
219;3.076500763414137;-2.8016036154409147
220;3.082107802250701;-2.809037805023946
221;3.0868546230400047;-2.815389875535376
222;3.09170717345478;-2.8218971365544445
223;3.09419842907224;-2.8252253103426734
224;3.0984456250633827;-2.8308975381122803
225;3.107361279004925;-2.84273755001295
226;3.1148097008285816;-2.852791699130774
227;3.122271030623828;-2.863221913623109
228;3.1259775155274916;-2.868530418899741
229;3.133515273440133;-2.879290244879829
230;3.13841786083114;-2.886080021057683
231;3.143560138953107;-2.892926142278147
232;3.1547181530574733;-2.906543247879709
